,Country,Sex,Activity
304,AUSTRALIA,M,Spearfishing
305,PHILIPPINES,M,Fishing
306,SENEGAL,M,Fishing
307,AUSTRALIA,M,Spearfishing
308,AUSTRALIA,M,Fishing
309,SOUTH AFRICA,F,Standing
310,AUSTRALIA,M,Spearfishing
311,AUSTRALIA,M,Spearfishing
312,PAPUA NEW GUINEA,M,Fishing
313,USA,M,Fishing
314,USA,M,Spearfishing
315,CROATIA,M,Fishing
316,USA,M,Dragging
317,USA,M,Free diving
318,SOUTH AFRICA,M,Spearfishing
319,PAPUA NEW GUINEA,M,Fishing
320,ATLANTIC OCEAN,M,Paddling
321,PAPUA NEW GUINEA,M,Fishing
322,USA,M,Spearfishing
323,USA,M,Free diving
324,USA,M,Wading
325,USA,M,Swimming
326,USA,M,Free diving
327,USA,M,Spearfishing
328,TONGA,M,Spearfishing
329,PANAMA,M,Skindiving
330,USA,M,Attempting
331,USA,M,Spearfishing
332,USA,M,Standing
333,NEW ZEALAND,M,Fishing
334,AUSTRALIA,M,Diving
335,UNITED KINGDOM,M,Attempting
336,UNITED KINGDOM,M,Attempting
337,USA,M,Floating
338,USA,M,Fishing
339,USA,M,Removing
340,AUSTRALIA,M,Spearfishing
341,USA,M,Surfing
342,USA,M,Fishing
343,USA,M,Spearfishing
344,AUSTRALIA,M,Competing
345,CUBA,M,Fishing
346,UNITED KINGDOM,M,Fishing
347,CUBA,M,Spearfishing
348,CUBA,M,Spearfishing
349,SUDAN?,M,Spearfishing
350,USA,M,Fishing
351,AUSTRALIA,M,Landing
352,USA,M,while cutting
353,AUSTRALIA,M,Fishing
354,ITALY,M,Fishing
355,USA,M,Fishing
356,USA,M,Fishing
357,USA,M,Fishing
358,SUDAN,M,Spearfishing
359,MAURITIUS,M,Spearfishing
360,AUSTRALIA,M,Spearfishing
361,AUSTRALIA,M,Diving
362,EL SALVADOR,M,pole fishing
363,USA,M,Fishing
364,AUSTRALIA,M,Examining
365,AUSTRALIA,M,Fishing
366,BAHAMAS,M,Spearing
367,IRAN,M,Fishing
368,SOUTH AFRICA,M,Bringing
369,PAPUA NEW GUINEA,M,Spearfishing
370,PAPUA NEW GUINEA,M,Spearfishing
371,USA,M,Fishing
372,PACIFIC OCEAN,M,Moving
373,BAHAMAS,M,Attempting
374,PACIFIC OCEAN,M,rubber ding
375,ITALY,M,Sculling
376,AUSTRALIA,M,skiing
377,USA,M,Fishing
378,USA,M,Fishing
379,USA,M,Fishing
380,AUSTRALIA,M,Fishing
381,JAMAICA,M,Seine netting
382,AUSTRALIA,M,Collecting
383,USA,M,Fishing
384,BAHAMAS,M,Dress diving
385,USA,M,Seine netting
386,NEW ZEALAND,M,Fishing
387,AUSTRALIA,M,Fishing
388,USA,M,Fishing
389,TURKEY,M,Fishing
390,USA,M,Fishing
391,AUSTRALIA,M,Fishing
392,SOUTH AFRICA,M,Watching
393,USA,M,Fishing
394,CROATIA,M,Fishing
395,AUSTRALIA,M,Fishing
396,USA,M,Fishing
397,AUSTRALIA,M,Fishing
398,AUSTRALIA,M,Holding
399,AUSTRALIA,M,Spearfishing
400,USA,M,Fishing
401,AUSTRALIA,F,Touching
402,AUSTRALIA,M,Paddleskiing
403,AUSTRALIA,M,Hauling
404,BERMUDA,M,Fishing
405,BERMUDA,M,Fishing
406,AUSTRALIA,M,Fishing
407,USA,M,Fishing
408,AUSTRALIA,M,Fishing
409,AUSTRALIA,M,Fishing
410,NEW ZEALAND,M,Fishing
411,USA,M,Fishing
412,BAHAMAS,M,expedition filming
413,USA,M,Fishing
414,USA,M,Fishing
415,MEXICO,M,Fishing
416,USA,M,Gaffing
417,AUSTRALIA,M,Fishing
418,AUSTRALIA,M,Removing
419,USA,M,Fishing
420,AUSTRALIA,M,Standing
421,AUSTRALIA,M,Wading
422,USA,M,Fishing
423,USA,M,Fishing
424,ITALY,M,Boating
425,NICARAGUA,M,Feeling
426,NEW ZEALAND,M,Fishing
427,SPAIN,M,Fishing
428,FRENCH POLYNESIA,M,Pearl diving
429,ENGLAND,M,Fishing
430,USA,M,Removing
431,USA,M,Hoisting
432,USA,M,Hoisting
433,ENGLAND,M,Fishing
434,USA,M,Stuffing
435,USA,M,Fishing
436,USA,M,Fishing
437,USA,F,Fishing
438,USA,M,Fishing
439,AUSTRALIA,M,Hauling
440,AUSTRALIA,M,hat diving
441,USA,M,Fishing
442,USA,M,Fishing
443,NORTH ATLANTIC OCEAN,M,Fishing
444,AUSTRALIA,M,Fishing
445,USA,M,Seine netting
446,SPAIN,M,Fishing
447,USA,M,Fishing
448,AUSTRALIA,M,Shooting
449,USA,M,Fishing
450,ITALY,M,Fishing
451,USA,M,Swimming
452,NEW ZEALAND,M,Standing
453,USA,M,Hunting
454,ITALY,M,Fishing
455,USA,M,Angling
456,USA,M,Fishing
457,USA,M,Fishing
458,USA,M,Fishing
459,AUSTRALIA,M,Fishing
460,AUSTRALIA,M,Dress diving
461,USA,M,Shooting
462,GEORGIA,M,Fishing
463,NEW ZEALAND,M,Restraining
464,USA,M,Fishing
465,USA,M,Fishing
466,USA,M,Shark fishing
467,FRANCE,M,Dragging
468,USA,M,Fishing
469,PACIFIC OCEAN,M,Fishing
470,ENGLAND,M,Fishing
471,VANUATU,M,Attempting
472,USA,M,Skin diving
473,BAHAMAS,M,Testing
474,CUBA,M,Shark fishing
475,BURMA,M,Carrying
