,Country,Area,Species
1096,ITALY,Tyrrhenian Sea,White shark
1097,USA,California,White shark
1098,USA,Hawaii,Hammerhead shark
1099,AUSTRALIA,New South Wales,Tiger shark
1100,PAPUA NEW GUINEA,New Ireland,Silvertip shark
1101,CHILE,Valpariso Province,White shark
1102,USA,Oregon,White shark
1103,USA,Florida,Bull shark
1104,USA,Louisiana,Tiger shark
1105,USA,California,White shark
1106,SOUTH AFRICA,Western Cape Province,White shark
1107,USA,North Carolina,Sandtiger shark
1108,USA,South Carolina,Sand shark
1109,USA,California,White shark
1110,SOUTH AFRICA,KwaZulu-Natal,Raggedtooth shark
1111,SOUTH AFRICA,KwaZulu-Natal,Zambezi shark
1112,AUSTRALIA,Western Australia,Mako shark
1113,Fiji,Vanua Levu,Tiger shark
1114,USA,Louisiana,Mako shark
1115,SOUTH AFRICA,Western Cape Province,Copper shark
1116,AUSTRALIA,New South Wales,Wobbegong shark
1117,USA,Florida,Blacktip shark
1118,SOUTH AFRICA,Western Cape Province,White shark
1119,AUSTRALIA,South Australia,White shark
1120,SOUTH AFRICA,Western Cape Province,White shark
1121,USA,California,White shark
1122,USA,Florida,Blacktip shark
1123,AUSTRALIA,Western Australia,Bronze whaler shark
1124,SOUTH AFRICA,Western Cape Province,White shark
1125,USA,Florida,Spinner shark
1126,SOUTH AFRICA,Eastern Cape Province,White shark
1127,ITALY,Tyrrhenian Sea,White shark
1128,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
1129,SOUTH AFRICA,Western Cape Province,White shark
1130,USA,Florida,Blacktip shark
1131,USA,California,White shark
1132,SOUTH AFRICA,KwaZulu-Natal,Raggedtooth shark
1133,USA,Florida,Lemon shark
1134,USA,Florida,Bull shark
1135,AUSTRALIA,New South Wales,Wobbegong shark
1136,AUSTRALIA,Western Australia,White sharkauthorities believed shark
1137,SOUTH AFRICA,KwaZulu-Natal,Dusky shark
1138,AUSTRALIA,New South Wales,Wobbegong shark
1139,SPAIN,Cádiz,White shark
1140,SOUTH AFRICA,Eastern Cape Province,White shark
1141,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1142,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
1143,AUSTRALIA,Victoria,Bronze whaler shark
1144,USA,Florida,Blacktip shark
1145,USA,North Carolina,Sandtiger shark
1146,USA,California,White shark
1147,SOUTH AFRICA,Eastern Cape Province,White shark
1148,USA,California,Sevengill shark
1149,USA,Hawaii,Tiger shark
1150,USA,Alabama,-lb shark
1151,USA,California,White shark
1152,USA,Florida,Silky shark
1153,USA,Florida,Small hammerhead shark
1154,USA,California,White shark
1155,USA,South Carolina,Tiger shark
1156,ITALY,Sicily,White shark
1157,AUSTRALIA,South Australia,White shark
1158,USA,California,White shark
1159,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
1160,SOUTH AFRICA,KwaZulu-Natal,White shark
1161,SOUTH AFRICA,Western Cape Province,White shark
1162,NEW CALEDONIA,South Province,Tiger shark
1163,SOUTH AFRICA,KwaZulu-Natal,Dusky shark
1164,ITALY,Tyrrhenian Sea,White shark
1165,AUSTRALIA,Queensland,Tiger shark
1166,USA,Florida,Blacktip shark
1167,USA,Oregon,White shark
1168,USA,California,White shark
1169,USA,Florida,Hammerhead shark
1170,USA,California,Small blue shark
1171,USA,California,White shark
1172,MEXICO,Baja California,White shark
1173,SOUTH AFRICA,KwaZulu-Natal,Raggedtooth shark
1174,SOUTH AFRICA,Western Cape Province,White shark
1175,USA,Hawaii,Hammerhead shark
1176,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1177,SOUTH AFRICA,KwaZulu-Natal,Dusky shark
1178,AUSTRALIA,Queensland,White-tipped reef shark
1179,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1180,USA,California,Sevengill shark
1181,AUSTRALIA,South Australia,White shark
1182,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1183,USA,Florida,Tiger shark
1184,USA,Oregon,White shark
1185,SOUTH AFRICA,Western Cape Province,White shark
1186,USA,Virginia,Sand shark
1187,USA,Florida,Nurse shark
1188,USA,Florida,Bull shark
1189,AUSTRALIA,Queensland,Tiger shark
1190,AUSTRALIA,Queensland,Tiger shark
1191,AUSTRALIA,Queensland,Tiger shark
1192,USA,Florida,Hammerhead shark
1193,BAHAMAS,Berry Islands,Caribbean reef shark
1194,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1195,SOUTH AFRICA,KwaZulu-Natal,Zambezi shark
1196,SOUTH AFRICA,Eastern Cape Province,Spinner shark
1197,SOUTH AFRICA,Western Cape Province,White shark
1198,USA,North & South Carolina,Blue shark
1199,SOUTH AFRICA,Eastern Cape Province,White shark
1200,USA,California,White shark
1201,USA,California,White shark
1202,USA,California,Ported as shark
1203,SOUTH AFRICA,Eastern Cape Province,White shark
1204,USA,California,White shark
1205,USA,California,S a shark
1206,SOUTH AFRICA,Eastern Cape Province,White shark
1207,BAHAMAS,Andros Islands,Lemon shark
1208,USA,Hawaii,Shark
1209,AUSTRALIA,Tasmania,White shark
1210,USA,California,White shark
1211,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1212,ITALY,Tyrrhenian Sea,White shark
1213,ITALY,Tyrrhenian Sea,White shark
1214,USA,California,White shark
1215,USA,Hawaii,Tiger shark
1216,SOUTH AFRICA,Western Cape Province,Shot white shark
1217,USA,Florida,Tiger sharka hammerhead shark
1218,USA,Florida,Small nurse shark
1219,BAHAMAS,Grand Bahama Island,Mako shark
1220,SOUTH AFRICA,Eastern Cape Province,Zambezi shark
1221,SOUTH AFRICA,KwaZulu-Natal,Gray shark
1222,SOUTH KOREA,Chungnam,White shark
1223,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1224,USA,Florida,Lemon shark
1225,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1226,SOUTH AFRICA,Eastern Cape Province,Tiger shark
1227,USA,Florida,Dusky shark
1228,CHILE,Coquimbo,White shark
1229,BRAZIL,Rio de Janeiro,White shark
1230,SOUTH AFRICA,KwaZulu-Natal,Blacktip shark
1231,AUSTRALIA,Western Australia,Hammerhead shark
1232,USA,Florida,Hammerhead shark
1233,USA,Florida,Tiger shark
1234,AUSTRALIA,New South Wales,Tiger shark
1235,REUNION,Grand'Anse,White shark
1236,USA,Oregon,White shark
1237,USA,California,White shark
1238,USA,Hawaii,Tiger shark
1239,SPAIN,Canary Islands,Blue shark
1240,USA,California,Blue shark
1241,MEXICO,Sinaloa,Tiger shark
1242,SOUTH AFRICA,KwaZulu-Natal,Tiger shark
1243,SOUTH AFRICA,Western Cape Province,Hammerhead shark
1244,SOUTH AFRICA,KwaZulu-Natal,White shark
1245,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1246,SOUTH AFRICA,Eastern Cape Province,Hammerhead shark
1247,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1248,CHILE,Los Vilos,White shark
1249,GREECE,Island of Kos,White shark but shark
1250,PORTUGAL,Madeira Islands,White shark
1251,USA,Oregon,White shark
1252,SOUTH AFRICA,Western Cape Province,White shark
1253,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1254,SOUTH AFRICA,Western Cape Province,White shark
1255,USA,Florida,Spinner shark
1256,USA,California,White shark
1257,SOUTH AFRICA,KwaZulu-Natal,White shark
1258,SOUTH AFRICA,Western Cape Province,White shark
1259,ITALY,Tyrrhenian Sea,White shark
1260,AUSTRALIA,Tasmania,Sevengill shark
1261,SOUTH AFRICA,Western Cape Province,Kg shark
1262,SOUTH AFRICA,Western Cape Province,White shark
1263,SOUTH AFRICA,KwaZulu-Natal,Blacktip shark
1264,SOUTH AFRICA,Eastern Cape Province,Tiger shark
1265,SOUTH AFRICA,Western Cape Province,White shark
1266,SOUTH AFRICA,Western Cape Province,White shark
1267,AUSTRALIA,South Australia,White shark
1268,SOUTH AFRICA,Western Cape Province,White shark
1269,USA,California,White shark
1270,USA,Florida,Bull shark
1271,USA,Texas,Bull shark
1272,SOUTH AFRICA,Western Cape Province,Mako shark
1273,USA,California,White shark
1274,SOUTH AFRICA,Western Cape Province,White shark
1275,USA,Florida,On sharkor bull shark
1276,SOUTH AFRICA,Western Cape Province,White shark
1277,SOUTH AFRICA,Western Cape Province,White shark
1278,USA,California,White shark
1279,SOUTH AFRICA,Eastern Cape Province,White shark
1280,USA,Florida,Tiger shark
1281,USA,Oregon,White shark
1282,ITALY,Reggio Calabria Province,Blue shark
1283,SOUTH AFRICA,Western Cape Province,Mako shark
1284,SOUTH AFRICA,Western Cape Province,Whale shark
1285,SOUTH AFRICA,Western Cape Province,White shark
1286,SOUTH AFRICA,Western Cape Province,White shark
1287,SOUTH AFRICA,Western Cape Province,White shark
1288,SOUTH AFRICA,Western Cape Province,White shark
1289,NEW ZEALAND,North Island,Bronze whaler shark
1290,USA,California,White shark
1291,AUSTRALIA,New South Wales,Grey nurse shark
1292,SOUTH AFRICA,KwaZulu-Natal,Dusky shark
1293,SOUTH AFRICA,Eastern Cape Province,White shark
1294,USA,California,White shark
1295,AUSTRALIA,Tasmania,White shark
1296,USA,California,White shark
1297,USA,California,White shark
1298,AUSTRALIA,Western Australia,Whaler shark
1299,SOUTH AFRICA,Western Cape Province,White shark
1300,AUSTRALIA,Queensland,Bronze whaler shark
1301,SOUTH AFRICA,Western Cape Province,Shark
1302,SOUTH AFRICA,Western Cape Province,Mako shark
1303,AUSTRALIA,South Australia,White shark
1304,AUSTRALIA,Victoria,Carpet shark
1305,SOUTH AFRICA,Western Cape Province,Copper shark
1306,USA,California,White shark
1307,USA,California,White shark
1308,ISRAEL,Red Sea,Shortfin mako shark
1309,USA,California,White shark
1310,USA,California,White shark
1311,USA,Oregon,White shark
1312,CROATIA, Split-Dalmatia County,White shark
1313,USA,California,White shark
1314,USA,California,White shark
1315,USA,Georgia,Small shark
1316,USA,California,White shark
1317,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
1318,SOUTH AFRICA,KwaZulu-Natal,Dusky shark
1319,SOUTH AFRICA,Western Cape Province,White shark
1320,SOUTH AFRICA,Western Cape Province,White shark
1321,SOUTH AFRICA,Western Cape Province,White shark
1322,SOUTH AFRICA,KwaZulu-Natal,Raggedtooth shark
1323,AUSTRALIA,South Australia,White shark
1324,AUSTRALIA,Western Australia,Bronze whaler shark
1325,BAHAMAS,Grand Bahama Island,Bull shark
1326,MEXICO,Baja California,White shark
1327,EGYPT,Red Sea,Tiger shark
1328,USA,Virginia,Blacktip shark
1329,SOUTH AFRICA,KwaZulu-Natal,Sharkor blacktip shark
1330,PALAU,Aulong Island,Tiger shark
1331,PALAU,Western Caroline Islands,Grey reef shark
1332,SOUTH AFRICA,Western Cape Province,White shark
1333,AUSTRALIA,New South Wales,Bronze whaler shark
1334,USA,US Virgin Islands,Oceanic whitetip shark
1335,USA,California,White shark
1336,AUSTRALIA,Tasmania,White shark
1337,USA,California,White shark
1338,FRENCH POLYNESIA,Tuamotus,Grey reef shark
1339,WESTERN SAMOA,Upolu Island,Tiger shark
1340,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1341,MOZAMBIQUE,Gaza,White shark
1342,FRANCE,Antibes,White shark
1343,MARSHALL ISLANDS,Illeginni Atoll,Grey reef shark
1344,SOUTH AFRICA,Western Cape Province,White shark
1345,USA,California,White shark
1346,CROATIA,Istria County,White shark
1347,AUSTRALIA,New South Wales,Grey nurse shark
1348,USA,California,White shark
1349,SOUTH AFRICA,Western Cape Province,White shark
1350,BRITISH ISLES,South Devon,Porbeagle shark
1351,SOUTH AFRICA,Western Cape Province,White shark
1352,NEW ZEALAND,South Island,White shark
1353,AUSTRALIA,South Australia,White shark
1354,USA,South Carolina,Dog shark
1355,SOUTH AFRICA,KwaZulu-Natal,Raggedtooth shark
1356,MOZAMBIQUE,Limpopo River,Zambesi shark
1357,MOZAMBIQUE,Limpopo River,Zambesi shark
1358,MOZAMBIQUE,Limpopo River,Zambesi shark
1359,ENGLAND,Devon,Blue shark
1360,SPAIN,Canary Islands,Blue shark
1361,ITALY,Sardinia,White shark
1362,CROATIA,Zadar County,White shark
1363,USA,Hawaii,Oceanic whitetip shark
1364,USA,California,White shark
1365,USA,Florida,Nurse shark
1366,USA,California,White shark
1367,USA,Florida,Nurse shark
1368,USA,Florida,Lemon shark
1369,AUSTRALIA,New South Wales,Mako shark
1370,USA,Hawaii,White shark
1371,AUSTRALIA,Tasmania,-gill shark
1372,AUSTRALIA,Victoria,Carpet shark
1373,AUSTRALIA,New South Wales,Grey nurse shark
1374,NEW ZEALAND,South Island,White shark
1375,AUSTRALIA,South Australia,White shark
1376,SOUTH AFRICA,KwaZulu-Natal,Scalloped hammerhead shark
1377,USA,Florida,Bull shark
1378,NEW ZEALAND,South Island,White shark
1379,USA,Florida,Small hammerhead shark
1380,USA,California,White shark
1381,BAHAMAS,Eleuthera,Caribbean reef shark
1382,USA,Florida,Silky shark
1383,AUSTRALIA,New South Wales,Bronze whaler shark
1384,AUSTRALIA,South Australia,Bronze whaler shark
1385,AUSTRALIA,New South Wales,Grey nurse shark
1386,AUSTRALIA,Queensland,Grey nurse shark
1387,USA,Florida,Small blacktip shark
1388,USA,California,Blue shark
1389,AUSTRALIA,Western Australia,White shark
1390,USA,Florida,Nurse shark
1391,BAHAMAS,Out Islands,Sandbar shark
1392,USA,Florida,Nurse shark
1393,ITALY,Sicily,White shark
1394,AUSTRALIA,South Australia,Bronze whaler shark
1395,SOUTH AFRICA,KwaZulu-Natal,White shark
1396,AUSTRALIA,Victoria,Grey nurse shark
1397,NEW ZEALAND,South Island,White shark
1398,SOUTH AFRICA,Western Cape Province,White sharkor thresher shark
1399,SOUTH AFRICA,Western Cape Province,Sandtiger shark
1400,AUSTRALIA,Victoria,Sand shark
1401,AUSTRALIA,New South Wales,Grey nurse shark
1402,AUSTRALIA,New South Wales,Grey nurse shark
1403,AUSTRALIA,Queensland,Bronze whaler shark
1404,AUSTRALIA,Western Australia,Mako shark
1405,USA,Florida,Nurse shark
1406,CROATIA,Primorje-Gorski Kotar County ,White shark
1407,ITALY,Taranto province,Small shark
1408,USA,Florida,Blacktip shark
1409,USA,Texas,Lemon sharkor sandtiger shark
1410,USA,New Jersey,Cold for sharkpregnant sandbar shark
1411,USA,Florida,Hammerhead shark
1412,AUSTRALIA,New South Wales,White shark
1413,AUSTRALIA,New South Wales,White shark
1414,SOUTH AFRICA,Western Cape Province,Copper shark
1415,USA,California,White shark
1416,AUSTRALIA,New South Wales,Wobbegong shark
1417,SOUTH AFRICA,Eastern Cape Province,Zambesi shark
1418,AUSTRALIA,Western Australia,Carpet shark
1419,USA,Florida,Hammerhead shark
1420,AUSTRALIA,Western Australia,Carpet shark
1421,AUSTRALIA,Queensland,Grey nurse shark
1422,BAHAMAS,New Providence Island,-lb shark
1423,BAHAMAS,New Providence Island,-lb shark
1424,PAPUA NEW GUINEA,Madang Province,Small shark
1425,BAHAMAS,Bimini Islands,Lemon shark
1426,USA,Florida,Bull shark
1427,USA,Florida,White shark
1428,PALAU,Western Caroline Islands,Tiger shark
1429,USA,Florida,Spinner shark
1430,USA,Florida,Mako shark
1431,SOUTH AFRICA,KwaZulu-Natal,White shark
1432,USA,Florida,Nurse shark
1433,RED SEA,East of the Gulf of Aqaba,Small shark
1434,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1435,AUSTRALIA,Victoria ,White shark
1436,AUSTRALIA,New South Wales,White shark
1437,USA,Puerto Rico,Mako shark
1438,AUSTRALIA,Western Australia,Grey nurse shark
1439,USA,Florida,Hammerhead shark
1440,USA,Puerto Rico,Nurse shark
1441,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1442,USA,Florida,White shark
1443,PANAMA,Caribbean Coast,Lemon shark
1444,FIJI,Vita Levu,Tiger shark
1445,NEW ZEALAND,North Island,White shark
1446,SOUTH AFRICA,Western Cape Province,White shark
1447,NEW ZEALAND,North Island,Sand shark
1448,NEW ZEALAND,South Island,White shark
1449,USA,Florida,Hammerhead shark
1450,SOUTH AFRICA,Western Cape Province,White shark
1451,USA,California,White shark
1452,PAPUA NEW GUINEA,New Britain,Tiger shark
1453,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1454,SOUTH AFRICA,KwaZulu-Natal,Shark
1455,AUSTRALIA,Queensland,-lb shark
1456,SOUTH AFRICA,KwaZulu-Natal,Dusky shark
1457,AUSTRALIA,New South Wales,Wobbegong shark
1458,SOUTH AFRICA,Western Cape Province,White shark
1459,SOUTH AFRICA,KwaZulu-Natal,-lb zambesi shark
1460,AUSTRALIA,South Australia,White shark
1461,NEW BRITAIN,"South Coast, East New Britain",Tiger shark
1462,NEW ZEALAND,South Island,-gill shark
1463,PAPUA NEW GUINEA,Gulf Province,Tiger shark
1464,FIJI, Lau Province,Tiger shark
1465,AUSTRALIA,Queensland,White shark
1466,USA,Florida,Silky shark
1467,USA,Florida,-lb shark
1468,USA,Florida,Nurse shark
1469,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,Tiger shark
1470,GREECE,Thessaly,White shark
1471,AUSTRALIA,New South Wales,Grey nurse shark
1472,USA,US Virgin Islands,Galapagos shark
1473,AUSTRALIA,New South Wales,Bronze whaler shark
1474,FIJI,Lomaiviti  Island Group,White shark
1475,AUSTRALIA,New South Wales,Sharka bull shark
1476,SOUTH AFRICA,Western Cape Province,-lb shark
1477,NEW ZEALAND,North Island,Grey nurse shark
1478,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1479,AUSTRALIA,South Australia,White shark
1480,SOUTH AFRICA,KwaZulu-Natal,Dusky shark
1481,AUSTRALIA,South Australia,White shark
1482,SOUTH AFRICA,Western Cape Province,Shark
1483,USA,California,White shark
1484,AUSTRALIA,South Australia,Grey nurse shark
1485,BRITISH WEST INDIES,Grand Turk Island,Blacktip shark
1486,ITALY,Tyrrhenian Sea,White shark
1487,PAPUA NEW GUINEA,Northern District,Thin brown-colored shark
1488,ITALY,Tyrrhenian Sea,White shark
1489,USA,California,Blue shark
1490,PAPUA NEW GUINEA,Madang Province,Bronze whaler shark
1491,USA,California,Sevengill  shark
1492,AUSTRALIA,Queensland,Bronze whaler shark
1493,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1494,AUSTRALIA,New South Wales,Bronze whaler shark
1495,PAPUA NEW GUINEA,Madang,Bronze whaler shark
1496,SOUTH AFRICA,KwaZulu-Natal,White shark
1497,AUSTRALIA,Queensland,Cm  shark
1498,AUSTRALIA,New South Wales,Bronze whaler shark
1499,NEW ZEALAND,South Island,D shark
1500,USA,California,White shark
1501,AUSTRALIA,New South Wales,Grey nurse shark
1502,AUSTRALIA,New South Wales,Bronze whaler shark shark
1503,AUSTRALIA,South Australia,Grey nurse shark
1504,PAPUA NEW GUINEA,"10ºS, 142ºE",White shark
1505,NEW ZEALAND,South Island,Shark
1506,AUSTRALIA,South Australia,White shark
1507,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1508,AUSTRALIA,Western Australia,Grey nurse shark
1509,VANUATU,Shefa Province,Two shark
1510,CROATIA,Primorje-Gorski Kotar County ,White shark
1511,USA,California,White shark
1512,USA,South Carolina,White shark
1513,AUSTRALIA,Queensland,White shark
1514,ITALY,Adriatic Sea,White shark
1515,USA,Florida,Hammerhead shark
1516,USA,California,White shark
1517,USA,Florida,Hammerhead shark
1518,AUSTRALIA,New South Wales,Wobbegong shark
1519,MOZAMBIQUE,Gaza,Zambesi shark
1520,SOUTH AFRICA,Eastern Cape Province,Captive shark shark
1521,USA,Florida,Tiger shark
1522,AUSTRALIA,New South Wales,Wobbegong shark
1523,MOZAMBIQUE,Gaza,Zambesi shark
1524,AUSTRALIA,Victoria,Grey nurse shark
1525,AUSTRALIA,Western Australia,Wobbegong shark
1526,AUSTRALIA,South Australia,Bronze whaler shark
1527,AUSTRALIA,South Australia,White shark
1528,NORTH PACIFIC OCEAN,Wake Island (EnenKio),Grey reef sharkgrey reef shark
1529,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1530,AUSTRALIA,Victoria,Banjo shark
1531,SOUTH AFRICA,Eastern Cape Province,-kg shark
1532,AUSTRALIA,Western Australia,Grey nurse shark
1533,SOUTH AFRICA,KwaZulu-Natal,White shark
1534,AUSTRALIA,New South Wales,Wobbegong shark
1535,SOUTH AFRICA,KwaZulu-Natal,White shark
1536,AUSTRALIA,Northern Territory,Hammerhead shark
1537,MOZAMBIQUE,Limpopo River,Six zambesi shark
1538,SOUTH AFRICA,KwaZulu-Natal,White sharka white shark
1539,AUSTRALIA,Queensland,Grey nurse shark
1540,AUSTRALIA,Queensland,Bull shark
1541,AUSTRALIA,Western Australia,Wobbegong shark
1542,SOUTH AFRICA,Western Cape Province,White shark
1543,NEW GUINEA,Western District,Blacktip shark
1544,SOUTH AFRICA,Western Cape Province,White shark
1545,SOUTH AFRICA,Western Cape Province,White shark
1546,USA,South Carolina,-lb shark
1547,USA,Florida,Lemon shark
1548,ENGLAND,In the English Channel ,-lb hooked shark
1549,USA,Virginia,Sand shark
1550,NEW ZEALAND,Cook Strait,White shark
1551,USA,Florida,Mako shark
1552,BERMUDA,Paget,Dusky shark dusky shark
1553,USA,California,White shark
1554,USA,Florida,Lemon sharkfemale lemon shark
1555,SOUTH AFRICA,KwaZulu-Natal,White shark
1556,USA,California,White shark
1557,AUSTRALIA,Western Australia,Bronze whaler shark
1558,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
1559,AUSTRALIA,New South Wales,White shark
1560,AUSTRALIA,Western Australia,Sandtiger shark
1561,AUSTRALIA,New South Wales,Bronze whaler shark
1562,AUSTRALIA,South Australia,White shark
1563,SOUTH AFRICA,Western Cape Province,White shark
1564,USA,Florida,Rger shark
1565,NEW ZEALAND,North Island,Bronze whaler shark
1566,PAPUA NEW GUINEA,Central Province,Tiger shark
1567,AUSTRALIA,New South Wales,Tiger shark
1568,AUSTRALIA,New South Wales,Grey nurse shark
1569,AUSTRALIA,South Australia,Blue pointer
1570,AUSTRALIA,New South Wales,Bull shark
1571,AUSTRALIA,Western Australia,Wobbegong shark
1572,SRI LANKA,Eastern  Province,Blacktail reef shark
1573,SRI LANKA,Eastern  Province,Blacktip reef shark
1574,AUSTRALIA,Queensland,Tiger shark
1575,AUSTRALIA,Victoria,Shark
1576,NEW ZEALAND,North Island,Mako shark
1577,SOUTH AFRICA,Western Cape Province,Thresher shark
1578,USA,California,Blue shark
1579,AUSTRALIA,Western Australia,Carpet shark
1580,USA,California,White shark
1581,FIJI,Kadavu,Tiger shark
1582,USA,Florida,Hammerhead shark other shark
1583,USA,South Carolina,Olve white shark
1584,USA,California,White shark
1585,USA,California,Hammerhead shark
1586,CROATIA,Istria,Kg shark
1587,JAPAN,Wakayama Prefecture,Blue shark
1588,USA,California,White shark
1589,USA,California,Hammerhead shark
1590,JAPAN,Okayama Prefecture,Blue shark
1591,USA,California,Hammerhead shark
1592,USA,California,Hammerhead shark
1593,USA,California,Blue shark
1594,USA,Florida,Nurse shark
1595,NORTH ATLANTIC OCEAN,In the Gulf Stream ,Oceanic whitetip shark
1596,USA,California,White shark
1597,SOUTH AFRICA,Eastern Cape Province,White shark
1598,USA,California,White shark
1599,USA,Florida,Tiger shark
1600,AUSTRALIA,Torres Strait,Tiger shark
1601,USA,Florida,Tiger shark
1602,AUSTRALIA,Victoria,Mako shark
1603,AUSTRALIA,Western Australia,Grey nurse shark
1604,SOUTH AFRICA,Western Cape Province,White shark
1605,SOUTH KOREA,South Chungcheong Province,White shark
1606,TURKEY,Ahirkapi coast,White shark
1607,USA,Hawaii,Tiger shark
1608,AMERICAN SAMOA,Tutuila Island,Tiger shark
1609,USA,California,White shark
1610,BAHAMAS,Cat Cay,-lb shark
1611,MEXICO,Baja California,Hammerhead shark
1612,USA,Florida,Tiger shark
1613,USA,Florida,Tiger shark
1614,USA,Florida,Nurse sharkdescription of shark
1615,BAHAMAS,Abaco Islands,Tiger shark
1616,USA,Florida,Nurse shark
1617,USA,Florida,Tiger shark
1618,USA,Florida,Nurse shark
1619,USA,Florida,Nurse shark
1620,TAIWAN,Taipei Hsien,Mako shark
1621,USA,US Virgin Islands,Nurse shark
1622,SOUTH AFRICA,KwaZulu-Natal,White shark
1623,PAPUA NEW GUINEA,West New Britain Province,Several shark
1624,SOUTH AFRICA,Western Cape Province,White shark
1625,MARSHALL ISLANDS,Eniwetok Atoll,S carcharinid shark mako shark
1626,USA,Florida,Bull shark
1627,USA,California,White sharka blue shark
1628,USA,North Carolina,White shark
1629,USA,California,White shark
1630,AUSTRALIA,New South Wales,Wobbegong shark
1631,USA,Florida,Rge mako shark
1632,USA,Florida,Bull shark
1633,IRAN,Karun River,Bull shark
1634,IRAN,Karun River,Bull shark
1635,PAPUA NEW GUINEA,Milne Bay Province,Tiger shark
1636,NEW ZEALAND,North Island,Mako shark
1637,SOUTH AFRICA,Western Cape Province,White shark
1638,SENEGAL,"Near Dakar, Cap Vert Peninsula",Lemon shark
1639,USA,Florida,Sand shark
1640,MAYOTTE,Mozambique Channel,Tiger shark
1641,ITALY,Tyrrenian Sea,White shark
1642,AUSTRALIA,Queensland,Wobbegong shark
1643,USA,California,White shark
1644,MALTA,Congreve Channel,White shark
1645,USA,California,-lb shark
1646,MALTA,St. Thomas Bay,White shark
1647,SOUTH AFRICA,Western Cape Province,White shark
1648,ITALY,Ligurian Sea,White shark
1649,AUSTRALIA,Victoria,Sharkbeen another shark
1650,GREECE,Corfu Island,White shark
1651,USA,Virginia,-lb sand shark
1652,PAPUA NEW GUINEA,Central Province,Wobbegong shark
1653,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Species of sharkoceanic whitetip shark
1654,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Species of sharkoceanic whitetip shark
1655,USA,California,Blue shark the shark
1656,CROATIA, Primorje-Gorski Kotar County,White shark
1657,AMERICAN SAMOA,Tutuila Island,Blue shark
1658,JAPAN,Okayama Prefecture,Blue shark
1659,USA,Rhode Island,Sand shark
1660,MONTENEGRO,Adriatic Sea,White shark
1661,YEMEN,Aden,Shark
1662,PAPUA NEW GUINEA,"New Ireland, Bismarck Archipelago",Small brown-colored shark
1663,USA,California,Leopard shark
1664,USA,California,White shark
1665,AUSTRALIA,New South Wales,White shark
1666,AUSTRALIA,New South Wales,Bronze whaler shark
1667,CUBA,Havana Province,Little shark
1668,USA,Wake Island,Blacktip reef shark
1669,CROATIA,Zadar County,White shark
1670,CUBA,Guantanamo Province,Nurse shark
1671,CUBA,Guantanamo Province,Nurse shark
1672,USA,Florida,Nurse shark
1673,BERMUDA,South shore ,Sharka dusky shark
1674,AUSTRALIA,Queensland,Shark
1675,ARGENTINA,Buenos Aires Province,White shark
1676,IRAN,Karun River,Bull shark
1677,IRAN,Karun River,Bull shark
1678,IRAN,Karun River,Bull shark
1679,USA,New York,-lb sand shark
1680,USA,Hawaii,Hammerhead shark
1681,CANADA,Nova Scotia,White shark
1682,IRAN,Karun River,Sharkprobable bull shark
1683,IRAN,Karun River,Sharkprobable bull shark
1684,PAPUA NEW GUINEA,Milne Bay Province,Tiger shark
1685,AUSTRALIA,New South Wales,Wobbegong shark
1686,ITALY,Genoa  Province,-lb shark
1687,USA,California,White shark
1688,USA,Hawaii,Shark
1689,USA,Florida,Hammerhead shark
1690,USA,Puerto Rico,Tiger shark
1691,USA,California,White shark
1692,AUSTRALIA,Western Australia,Carpet shark
1693,AUSTRALIA,South Australia,White shark
1694,SUDAN,Red Sea State,Slim brown shark
1695,NETHERLANDS ANTILLES,Curacao,Bull sharkof the shark
1696,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Ber of shark
1697,AUSTRALIA,New South Wales,Wobbegong shark
1698,AUSTRALIA,New South Wales,Shark
